Lower tier local authorities,Type,cx,cy,Heating Does not apply,No central heating,Mains gas only,Tank or bottled gas only,Electric only,Oil only,Wood only,Solid fuel only,Renewable energy only,District or communal heat networks only,Other central heating only,Two or more (not including renewable energy),Two or more types (including renewable energy),Deprived House does not apply,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions,total deprived household in one or more dimensions
Adur,District,-0.268,50.8608,0,423,22284,56,2306,40,16,5,40,147,151,2076,132,0,12584,9872,4194,936,92,15094
Allerdale,District,-3.3609,54.7139,0,615,30792,826,1890,3416,287,493,231,73,250,4861,239,0,21136,14953,6232,1602,50,22837
Amber Valley,District,-1.4684,53.0137,0,588,45552,367,2524,861,98,284,137,59,237,5294,277,0,27520,18893,7864,1926,75,28758
Arun,District,-0.5781,50.8457,0,1012,56347,677,6856,736,58,32,195,265,368,5724,394,0,23517,18722,9613,2532,123,30990
Ashfield,District,-1.2763,53.1086,0,386,45614,218,1946,260,46,463,93,220,398,4664,202,0,23517,18722,9613,2532,123,30990
Ashford,District,0.8671,51.1465,0,624,35805,1363,3916,4975,121,112,330,168,391,5318,460,0,26784,18085,7081,1528,105,26799
Babergh,District,0.9483,52.0463,0,431,22144,597,3566,7883,133,90,625,93,140,3998,499,0,20575,13976,4678,933,37,19624
Barking and Dagenham,Borough,0.082,51.5362,0,1611,52530,474,9141,60,18,11,146,1598,1634,6402,277,0,27781,27396,14090,4348,287,46121
Barnet,Borough,-0.1745,51.6258,0,2886,108431,831,19271,120,18,11,214,3297,2279,11059,502,0,73825,49136,19877,5415,668,75096
Barnsley,District,-1.4791,53.5533,0,755,88744,609,3637,771,122,967,402,933,985,9564,565,0,46238,36682,19079,5815,239,61815
Barrow-in-Furness,District,-3.2262,54.11,0,892,26044,120,952,173,27,54,21,65,216,2621,75,0,14599,10261,4943,1397,59,16660
Basildon,District,0.4888,51.5761,0,807,60352,495,6908,175,10,24,75,881,599,5730,305,0,35257,26222,11652,3011,221,41106
Basingstoke and Deane,District,-1.0871,51.2665,0,705,55687,815,6149,4860,88,87,446,209,497,6624,480,0,42182,24524,8202,1650,86,34462
Bassetlaw,District,-0.9447,53.3222,0,420,36800,984,2391,4258,161,801,446,87,336,4403,371,0,24096,17652,7728,1912,73,27365
Bath,City,-2.36,51.38,0,855,58923,599,7378,2961,140,171,249,513,330,6593,540,0,42870,25495,8952,1819,114,36380
Bedford,City,-0.460739,52.136436,0,922,54447,972,7682,2975,65,76,365,320,596,6089,442,0,38704,24497,9293,2224,232,36246
Birmingham,City,-1.9025,52.48,0,9995,314339,2037,49507,292,60,56,343,2524,8738,34541,1023,0,171117,146765,78859,25045,1670,252339
Blaby,Borough,-1.1733,52.5871,0,315,36354,210,1561,262,29,37,96,88,170,3294,159,0,22832,13991,4903,823,26,19743
