area,cx,cy,heatCondition,numbers
Bath,-2.36,51.38,Does not apply,0
Bath,-2.36,51.38,No central heating,855
Bath,-2.36,51.38,Mains gas only,58923
Bath,-2.36,51.38,Tank or bottled gas only,599
Bath,-2.36,51.38,Electric only,7378
Bath,-2.36,51.38,Oil only,2961
Bath,-2.36,51.38,Wood only,140
Bath,-2.36,51.38,Solid fuel only,171
Bath,-2.36,51.38,Renewable energy only,249
Bath,-2.36,51.38,District or communal heat networks only,513
Bath,-2.36,51.38,Other central heating only,330
Bath,-2.36,51.38,Two or more types (no renewable energy),6593
Bath,-2.36,51.38,Two or more types (including renewable energy),540
Bedford,-0.460739,52.136436,Does not apply,0
Bedford,-0.460739,52.136436,No central heating,922
Bedford,-0.460739,52.136436,Mains gas only,54447
Bedford,-0.460739,52.136436,Tank or bottled gas only,972
Bedford,-0.460739,52.136436,Electric only,7682
Bedford,-0.460739,52.136436,Oil only,2975
Bedford,-0.460739,52.136436,Wood only,65
Bedford,-0.460739,52.136436,Solid fuel only,76
Bedford,-0.460739,52.136436,Renewable energy only,365
Bedford,-0.460739,52.136436,District or communal heat networks only,320
Bedford,-0.460739,52.136436,Other central heating only,596
Bedford,-0.460739,52.136436,Two or more types (no renewable energy),6089
Bedford,-0.460739,52.136436,Two or more types (including renewable energy),442
Birmingham,-1.9025,52.48,Does not apply,0
Birmingham,-1.9025,52.48,No central heating,9995
Birmingham,-1.9025,52.48,Mains gas only,314339
Birmingham,-1.9025,52.48,Tank or bottled gas only,2037
Birmingham,-1.9025,52.48,Electric only,49507
Birmingham,-1.9025,52.48,Oil only,292
Birmingham,-1.9025,52.48,Wood only,60
Birmingham,-1.9025,52.48,Solid fuel only,56
Birmingham,-1.9025,52.48,Renewable energy only,343
Birmingham,-1.9025,52.48,District or communal heat networks only,2524
Birmingham,-1.9025,52.48,Other central heating only,8738
Birmingham,-1.9025,52.48,Two or more types (no renewable energy),34541
Birmingham,-1.9025,52.48,Two or more types (including renewable energy),1023
Blackpool,-3.0357,53.8175,Does not apply,0
Blackpool,-3.0357,53.8175,No central heating,1492
Blackpool,-3.0357,53.8175,Mains gas only,50688
Blackpool,-3.0357,53.8175,Tank or bottled gas only,169
Blackpool,-3.0357,53.8175,Electric only,6062
Blackpool,-3.0357,53.8175,Oil only,57
Blackpool,-3.0357,53.8175,Wood only,70
Blackpool,-3.0357,53.8175,Solid fuel only,24
Blackpool,-3.0357,53.8175,Renewable energy only,24
Blackpool,-3.0357,53.8175,District or communal heat networks only,144
Blackpool,-3.0357,53.8175,Other central heating only,631
Blackpool,-3.0357,53.8175,Two or more types (no renewable energy),5318
Blackpool,-3.0357,53.8175,Two or more types (including renewable energy),115
Bournemouth,-1.8808,50.7208,Does not apply,0
Bournemouth,-1.8808,50.7208,No central heating,2673
Bournemouth,-1.8808,50.7208,Mains gas only,134200
Bournemouth,-1.8808,50.7208,Tank or bottled gas only,637
Bournemouth,-1.8808,50.7208,Electric only,20210
Bournemouth,-1.8808,50.7208,Oil only,248
Bournemouth,-1.8808,50.7208,Wood only,62
Bournemouth,-1.8808,50.7208,Solid fuel only,33
Bournemouth,-1.8808,50.7208,Renewable energy only,269
Bournemouth,-1.8808,50.7208,District or communal heat networks only,1251
Bournemouth,-1.8808,50.7208,Other central heating only,999
Bournemouth,-1.8808,50.7208,Two or more types (no renewable energy),12416
Bournemouth,-1.8808,50.7208,Two or more types (including renewable energy),843
Bradford,-1.7577,53.795,Does not apply,0
Bradford,-1.7577,53.795,No central heating,4539
Bradford,-1.7577,53.795,Mains gas only,164616
Bradford,-1.7577,53.795,Tank or bottled gas only,1050
Bradford,-1.7577,53.795,Electric only,15172
Bradford,-1.7577,53.795,Oil only,702
Bradford,-1.7577,53.795,Wood only,114
Bradford,-1.7577,53.795,Solid fuel only,127
Bradford,-1.7577,53.795,Renewable energy only,258
Bradford,-1.7577,53.795,District or communal heat networks only,968
Bradford,-1.7577,53.795,Other central heating only,3439
Bradford,-1.7577,53.795,Two or more types (no renewable energy),18321
Bradford,-1.7577,53.795,Two or more types (including renewable energy),560
Brighton and Hove,-0.1367,50.8278,Does not apply,0
Brighton and Hove,-0.1367,50.8278,No central heating,2844
Brighton and Hove,-0.1367,50.8278,Mains gas only,91393
Brighton and Hove,-0.1367,50.8278,Tank or bottled gas only,358
Brighton and Hove,-0.1367,50.8278,Electric only,14451
Brighton and Hove,-0.1367,50.8278,Oil only,200
Brighton and Hove,-0.1367,50.8278,Wood only,27
Brighton and Hove,-0.1367,50.8278,Solid fuel only,20
Brighton and Hove,-0.1367,50.8278,Renewable energy only,212
Brighton and Hove,-0.1367,50.8278,District or communal heat networks only,1902
Brighton and Hove,-0.1367,50.8278,Other central heating only,907
Brighton and Hove,-0.1367,50.8278,Two or more types (no renewable energy),8567
Brighton and Hove,-0.1367,50.8278,Two or more types (including renewable energy),521
Bristol,-2.5879,51.4545,Does not apply,0
Bristol,-2.5879,51.4545,No central heating,3110
Bristol,-2.5879,51.4545,Mains gas only,143784
Bristol,-2.5879,51.4545,Tank or bottled gas only,617
Bristol,-2.5879,51.4545,Electric only,24851
Bristol,-2.5879,51.4545,Oil only,262
